,City,Max_Temp,Humidity,Cloudiness,Wind_Speed,Latitude,Longitude
0,Sibu,30.0,74,40,2.06,2.3,111.8167
1,Āgaro,16.16,98,100,0.42,7.85,36.65
2,Vitim,2.08,98,100,4.72,59.4511,112.5578
3,East London,19.77,46,86,4.13,-33.0153,27.9116
4,Jamestown,1.11,86,40,4.63,42.097,-79.2353
5,Sihorā,26.0,29,20,3.09,23.4833,80.1167
6,Rikitea,25.53,74,26,2.36,-23.1203,-134.9692
7,Qaanaaq,-1.98,64,5,3.98,77.484,-69.3632
8,Margate,6.11,68,10,1.79,51.3813,1.3862
9,Thompson,-1.0,100,90,0.99,55.7435,-97.8558
10,Cartagena,24.0,100,75,4.12,10.3997,-75.5144
11,Ushuaia,8.0,76,75,5.66,-54.8,-68.3
12,Sawtell,22.0,56,14,5.14,-30.3833,153.1
13,Hermanus,15.0,92,1,1.34,-34.4187,19.2345
14,Rocha,14.47,78,66,3.02,-34.4833,-54.3333
15,Ahipara,17.62,65,24,3.88,-35.1667,173.1667
16,Hilo,23.0,78,90,1.54,19.7297,-155.09
17,Łańcut,-1.11,86,0,2.57,50.0687,22.2291
18,Safaga,21.0,40,0,0.79,26.7292,33.9365
19,Puerto Ayora,23.95,85,6,3.0,-0.7393,-90.3518
20,Lebu,12.45,92,28,4.19,-37.6167,-73.65
21,Albany,7.78,50,38,0.45,42.6001,-73.9662
22,Punta Arenas,7.0,93,90,2.57,-53.15,-70.9167
23,Dikson,-7.53,93,100,8.32,73.5069,80.5464
24,Bethel,13.0,50,1,2.06,41.3712,-73.414
25,Iisaku Parish,0.79,97,100,3.74,59.1014,27.3081
26,Mwanza,19.19,88,90,1.25,-2.5167,32.9
27,Sitka,13.0,47,1,2.57,57.0531,-135.33
28,Rawson,15.63,51,33,8.43,-43.3002,-65.1023
29,Ulladulla,20.56,42,0,2.57,-35.35,150.4667
30,Clyde River,-5.0,93,90,8.23,70.4692,-68.5914
31,Hong Kong,23.89,78,100,2.68,22.2855,114.1577
32,Port Alfred,21.93,45,91,4.23,-33.5906,26.891
33,Hithadhoo,28.11,67,63,2.01,-0.6,73.0833
34,Mataura,8.89,72,100,8.94,-46.1927,168.8643
35,Bredasdorp,10.0,93,95,2.06,-34.5322,20.0403
36,Kruisfontein,17.79,61,100,1.98,-34.0033,24.7314
37,Port Hardy,11.0,82,75,2.06,50.6996,-127.4199
38,Ibipeba,20.76,80,100,1.51,-11.6408,-42.0111
39,Klaksvík,6.0,100,100,8.75,62.2266,-6.589
40,Chapais,-4.0,93,90,6.17,49.7834,-74.8492
41,Tazmalt,17.38,50,57,2.94,36.3868,4.3989
42,Busselton,22.78,65,99,1.34,-33.65,115.3333
43,Cap-aux-Meules,5.0,81,100,5.14,47.3821,-61.8597
44,San Juan,18.0,46,0,2.11,-31.5375,-68.5364
45,Forestville,14.44,62,1,4.12,38.8451,-76.875
46,Yellowknife,-13.0,78,90,5.14,62.456,-114.3525
47,Bluff,8.89,72,87,8.94,-46.6,168.3333
48,Kapaa,25.0,73,1,6.17,22.0752,-159.319
49,Emerald,26.67,29,0,4.63,-23.5333,148.1667
50,Kearney,19.0,63,1,5.14,40.6995,-99.0815
51,Sambava,22.7,88,100,3.47,-14.2667,50.1667
52,Aklavik,-10.0,73,100,4.12,68.2191,-135.0107
53,Roald,2.0,87,9,5.66,62.5833,6.1333
54,Khatanga,-8.97,88,100,7.21,71.9667,102.5
55,Grandview,18.0,55,1,4.63,38.8858,-94.533
56,Juba,21.4,91,100,0.57,4.8517,31.5825
57,Naze,25.0,57,75,6.69,28.3667,129.4833
58,Cape Town,17.0,82,75,4.12,-33.9258,18.4232
59,Atuona,26.67,76,64,7.5,-9.8,-139.0333
60,Kaitangata,8.89,74,100,6.71,-46.2817,169.8464
61,Vikhorevka,4.0,60,100,6.0,56.1201,101.1636
62,Salalah,28.0,69,40,0.51,17.0151,54.0924
63,Torbay,5.0,65,1,5.14,47.6666,-52.7314
64,Omboué,25.92,85,71,1.37,-1.5746,9.2618
65,Savannah Bight,27.22,91,28,0.45,16.45,-85.85
66,Broken Hill,20.0,42,0,3.6,-31.95,141.4333
67,Birao,23.74,69,100,1.21,10.2849,22.7882
68,Grand Gaube,23.89,90,100,1.79,-20.0064,57.6608
69,Pumiao,19.0,88,75,3.0,22.75,108.4833
70,Yerbogachën,-1.2,62,100,5.86,61.2767,108.0108
71,Alihe,17.07,20,99,5.41,50.5667,123.7167
72,Sur,30.17,40,23,2.16,22.5667,59.5289
73,Nanning,19.0,88,75,3.0,22.8167,108.3167
74,Tuktoyaktuk,-11.0,79,90,5.14,69.4541,-133.0374
75,Hobart,19.0,45,20,8.75,-42.8794,147.3294
76,New Norfolk,19.0,45,20,8.75,-42.7826,147.0587
77,Butaritari,28.45,73,17,5.17,3.0707,172.7902
78,Podgornoye,4.0,75,0,1.0,51.735,39.1496
79,Sosnovo-Ozerskoye,0.98,98,100,8.72,52.5249,111.5418
80,Hamilton,8.89,61,20,1.43,39.1834,-84.5333
81,Arlit,30.81,10,17,4.29,18.7369,7.3853
82,Solnechnyy,9.99,32,70,2.02,50.7214,136.6319
83,Cockburn Town,25.74,74,50,7.48,21.4612,-71.1419
84,Walla Walla,14.0,35,1,2.57,46.0646,-118.343
85,Calabozo,31.34,41,100,3.52,8.9242,-67.4293
86,San Patricio,22.22,88,75,5.14,28.017,-97.5169
87,Corumbá,19.6,90,100,1.63,-19.0092,-57.6533
88,Seoul,19.0,63,75,5.14,37.5683,126.9778
89,Pampas,8.31,96,72,0.86,-12.4,-74.9
90,Avarua,28.0,74,20,4.12,-21.2078,-159.775
91,Mar del Plata,16.11,94,1,2.06,-38.0023,-57.5575
92,Esperance,27.0,26,17,6.69,-33.8667,121.9
93,Sal Rei,20.0,73,75,3.6,16.1833,-22.9167
94,Hualmay,18.97,88,20,4.04,-11.0964,-77.6139
95,Ibirubá,12.61,84,27,2.01,-28.6275,-53.0897
96,Rādhanpur,32.53,25,0,4.97,23.8333,71.6
97,Shenjiamen,17.25,79,8,3.62,29.9576,122.298
98,Acapulco de Juárez,28.0,78,75,2.57,16.8634,-99.8901
99,São Miguel dos Campos,23.0,94,20,2.06,-9.7811,-36.0936
100,Megion,6.0,45,0,4.0,61.0296,76.1136
101,Los Llanos de Aridane,19.0,72,75,2.06,28.6585,-17.9182
102,Kawalu,29.32,59,26,1.51,-7.3817,108.2082
103,Souillac,25.0,88,75,6.69,-20.5167,57.5167
104,Joshīmath,18.54,31,0,1.14,30.5667,79.5667
105,Hasaki,17.22,31,20,5.66,35.7333,140.8333
106,Fengcheng,19.44,27,100,4.45,40.4536,124.0717
107,Pevek,-3.74,85,99,0.67,69.7008,170.3133
108,Flinders,22.22,42,0,2.57,-34.5833,150.8552
109,Mahébourg,25.0,88,75,6.69,-20.4081,57.7
110,Huambo,15.32,67,74,0.81,-12.7761,15.7392
111,Bumba,20.92,97,100,1.73,2.1833,22.4667
112,Gusev,-0.41,95,99,3.76,54.5922,22.1997
113,Ribeira Grande,15.0,72,20,5.66,38.5167,-28.7
114,Abnūb,23.0,40,0,6.17,27.2696,31.1511
115,Eenhana,17.0,55,0,2.57,-17.4667,16.3333
116,Krasnokamensk,16.0,45,97,7.8,50.0979,118.0369
117,Kahului,26.0,65,75,9.26,20.8947,-156.47
118,Bahawalpur,33.01,11,0,3.63,29.4,71.6833
119,Novaya Igirma,1.91,92,100,4.12,57.1334,103.9112
120,Saskylakh,-9.66,90,100,10.03,71.9167,114.0833
121,São Filipe,22.07,71,99,4.21,14.8961,-24.4956
122,Flin Flon,-1.47,70,100,0.84,54.7682,-101.865
123,Port Lincoln,18.96,63,1,3.42,-34.7333,135.8667
124,Pacific Grove,12.22,76,90,4.12,36.6177,-121.9166
125,Vaini,27.0,83,40,2.57,-21.2,-175.2
126,Cabo San Lucas,23.89,40,90,5.14,22.8909,-109.9124
127,Gisborne,17.22,51,27,0.45,-38.6533,178.0042
128,Ponta do Sol,15.0,83,47,0.89,32.6667,-17.1
129,Lorengau,29.72,66,90,1.54,-2.0226,147.2712
130,Bandarbeyla,27.71,71,100,2.74,9.4942,50.8122
131,Lokoja,24.12,87,93,1.59,7.8024,6.743
132,Port Elizabeth,14.0,88,0,1.27,-33.918,25.5701
133,Turukhansk,-6.11,71,34,1.76,65.8167,87.9833
134,Sarmanovo,3.0,70,0,8.0,55.2553,52.5891
135,Faya,16.0,67,40,3.31,18.3851,42.4509
136,Denpasar,30.0,79,20,4.63,-8.65,115.2167
137,Tiksi,-2.27,94,100,5.24,71.6872,128.8694
138,Saint-Philippe,25.0,65,0,6.17,-21.3585,55.7679
139,Vestmanna,6.0,100,100,8.75,62.1564,-7.1664
140,Phan Thiet,31.14,60,66,1.8,10.9333,108.1
141,Upernavik,-3.21,79,46,2.28,72.7868,-56.1549
142,Ancud,11.67,100,90,1.03,-41.8697,-73.8203
143,Chokurdakh,-0.94,97,100,5.31,70.6333,147.9167
144,San Cristobal,26.0,83,75,1.54,7.7669,-72.225
145,Busing,28.17,63,56,2.55,13.1514,122.9714
146,Severo-Kuril'sk,-0.04,97,100,6.47,50.6789,156.125
147,Talnakh,-13.07,87,98,3.65,69.4865,88.3972
148,Sooke,9.44,88,100,5.14,48.3746,-123.7276
149,Samaná,23.95,83,9,3.06,19.2056,-69.3369
150,Zhangjiakou Shi Xuanhua Qu,16.39,49,88,1.9,40.6103,115.0447
151,Barrow,-6.0,79,1,6.69,71.2906,-156.7887
152,Vilhena,19.86,99,100,1.53,-12.7406,-60.1458
153,Severnyy-Kospashskiy,2.22,92,97,1.34,59.0925,57.8008
154,Gushikawa,26.0,50,20,4.63,26.3544,127.8686
155,Nālūt,19.39,28,61,6.74,30.3333,10.85
156,Peruíbe,21.37,89,100,1.15,-24.32,-46.9983
157,Narsaq,10.0,32,75,13.89,60.9167,-46.05
158,Bengkulu,29.01,67,42,2.18,-3.8004,102.2655
159,Halifax,7.78,96,100,3.58,44.6453,-63.5724
160,San Quintín,14.22,80,34,4.25,30.4833,-115.95
161,Padang,28.68,71,92,0.78,-0.9492,100.3543
162,Praia,20.0,77,40,4.63,14.9215,-23.5087
163,Vila Velha,25.0,83,0,1.54,-20.3297,-40.2925
164,Kavieng,29.01,66,94,1.16,-2.5744,150.7967
